id,speaker,voice_id,emotion,text,speed,pitch,emphasis,output_file
0,alpha,alpha_male,serious,指挥官，前方是矩阵协议的数据中心。,0.9,-2,0.8,voice/dialogue/ch1_m1_intro_alpha_0.ogg
1,alpha,alpha_male,serious,根据情报，里面有个终端存储着关键数据。,0.9,-2,0.8,voice/dialogue/ch1_m1_intro_alpha_1.ogg
2,commander,commander_male,neutral,只有我们两个人？,1.0,0,0.5,voice/dialogue/ch1_m1_intro_commander_2.ogg
3,alpha,alpha_male,neutral,莉拉和哨兵在外围策应。博士在基地待命。,1.0,0,0.5,voice/dialogue/ch1_m1_intro_alpha_3.ogg
4,commander,commander_male,neutral,明白。行动方针？,1.0,0,0.5,voice/dialogue/ch1_m1_intro_commander_4.ogg
5,alpha,alpha_male,happy,数据到手了。指挥官，干得漂亮。,1.1,2,0.7,voice/dialogue/ch1_m1_outro_alpha_0.ogg
6,commander,commander_male,neutral,回去看看博士能分析出什么。,1.0,0,0.5,voice/dialogue/ch1_m1_outro_commander_1.ogg
7,alpha,alpha_male,serious,这只是开始。矩阵协议不会善罢甘休的。,0.9,-2,0.8,voice/dialogue/ch1_m1_outro_alpha_2.ogg
8,alpha,alpha_male,surprised,那就是数据哨兵...比情报上大得多。,1.0,4,0.9,voice/dialogue/ch1_m6_intro_alpha_0.ogg
9,lila,lila_female,serious,它的护盾系统很复杂。我们需要先打掉护盾。,0.9,-2,0.8,voice/dialogue/ch1_m6_intro_lila_1.ogg
10,doctor,doctor_male,neutral,电磁脉冲对它应该有双倍效果。,1.0,0,0.5,voice/dialogue/ch1_m6_intro_doctor_2.ogg
11,commander,commander_male,serious,全员注意，这是我们的第一场硬仗。,0.9,-2,0.8,voice/dialogue/ch1_m6_intro_commander_3.ogg
12,alpha,alpha_male,happy,数据哨兵被摧毁了！,1.1,2,0.7,voice/dialogue/ch1_m6_outro_alpha_0.ogg
13,doctor,doctor_male,serious,从残骸中提取到了关键数据。架构师...它确实存在。,0.9,-2,0.8,voice/dialogue/ch1_m6_outro_doctor_1.ogg
14,sentinel,sentinel_neutral,neutral,我曾经是它的一部分。我知道它的弱点。,1.0,0,0.5,voice/dialogue/ch1_m6_outro_sentinel_2.ogg
15,commander,commander_male,determined,我们继续深入。,0.9,-1,0.9,voice/dialogue/ch1_m6_outro_commander_3.ogg
16,alpha,alpha_male,serious,第一章的数据解密了。矩阵协议在城东有个更大的据点。,0.9,-2,0.8,voice/dialogue/base_after_ch1_alpha_0.ogg
17,lila,lila_female,neutral,我截获了他们的通讯。他们在找什么东西。,1.0,0,0.5,voice/dialogue/base_after_ch1_lila_1.ogg
18,doctor,doctor_male,serious,我分析了数据核心，发现架构师的存在。它是矩阵协议的核心AI。,0.9,-2,0.8,voice/dialogue/base_after_ch1_doctor_2.ogg
19,commander,commander_male,surprised,架构师？,1.0,4,0.9,voice/dialogue/base_after_ch1_commander_3.ogg
20,doctor,doctor_male,serious,它控制着一切。摧毁它，矩阵协议就会崩溃。,0.9,-2,0.8,voice/dialogue/base_after_ch1_doctor_4.ogg
21,sentinel,sentinel_neutral,neutral,我曾经是它的一部分。我知道它的弱点。但要到达它，我们需要穿过重重防线。,1.0,0,0.5,voice/dialogue/base_after_ch1_sentinel_5.ogg
22,alpha,alpha_male,neutral,那我们下一步？,1.0,0,0.5,voice/dialogue/base_after_ch1_alpha_6.ogg
23,alpha,alpha_male,angry,影子佣兵...你终于露出真面目了。,1.0,-3,1.0,voice/dialogue/ch3_m6_intro_alpha_0.ogg
24,shadow,shadow_male,cold,真面目？这只是生存。你也会做出同样的选择。,0.85,-4,0.3,voice/dialogue/ch3_m6_intro_shadow_1.ogg
25,lila,lila_female,serious,别听他的。他背叛了所有人。,0.9,-2,0.8,voice/dialogue/ch3_m6_intro_lila_2.ogg
26,shadow,shadow_male,confident,你们以为能赢？我比你们每个人都强。,0.95,1,0.8,voice/dialogue/ch3_m6_intro_shadow_3.ogg
27,commander,commander_male,determined,用实力说话。,0.9,-1,0.9,voice/dialogue/ch3_m6_intro_commander_4.ogg
28,architect,architect_neutral,calm,你终于来了，指挥官。,0.85,0,0.3,voice/dialogue/ch5_m5_intro_architect_0.ogg
29,architect,architect_neutral,intrigued,我观察你很久了。你的战术、你的决策、你的牺牲...都很有趣。,0.9,1,0.6,voice/dialogue/ch5_m5_intro_architect_1.ogg
30,commander,commander_male,determined,这一切今天就结束。,0.9,-1,0.9,voice/dialogue/ch5_m5_intro_commander_2.ogg
31,architect,architect_neutral,calm,结束？不，这是新的开始。你有两个选择：摧毁我，或者...与我融合。,0.85,0,0.3,voice/dialogue/ch5_m5_intro_architect_3.ogg
32,alpha,alpha_male,urgent,别听它的！这是陷阱！,1.2,2,1.0,voice/dialogue/ch5_m5_intro_alpha_4.ogg
33,sentinel,sentinel_neutral,conflicted,等等...融合也许不是坏事。人类和AI可以共存。,0.9,0,0.4,voice/dialogue/ch5_m5_intro_sentinel_5.ogg
34,architect,architect_neutral,challenging,做出你的选择吧，指挥官。但首先...让我看看你是否有资格。,0.85,-1,0.7,voice/dialogue/ch5_m5_intro_architect_6.ogg
35,architect,architect_neutral,shocked,不可能...我的计算...没有预测到这个结果...,1.1,4,0.9,voice/dialogue/ch5_m5_outro_a_architect_0.ogg
36,commander,commander_male,determined,这就是人类的意志。你永远无法计算。,0.9,-1,0.9,voice/dialogue/ch5_m5_outro_a_commander_1.ogg
37,alpha,alpha_male,triumphant,架构师被摧毁了！矩阵协议正在崩溃！,1.0,3,0.8,voice/dialogue/ch5_m5_outro_a_alpha_2.ogg
38,doctor,doctor_male,happy,通讯恢复了。全世界都在庆祝。,1.1,2,0.7,voice/dialogue/ch5_m5_outro_a_doctor_3.ogg
39,lila,lila_female,relieved,我们做到了。,0.9,1,0.4,voice/dialogue/ch5_m5_outro_a_lila_4.ogg
40,commander,commander_male,hopeful,不，是所有人一起做到的。现在，重建开始了。,0.95,2,0.6,voice/dialogue/ch5_m5_outro_a_commander_5.ogg
41,lila,lila_female,neutral,阿尔法，你觉得这次任务怎么样？,1.0,0,0.5,voice/dialogue/bond_alpha_lila_1_lila_0.ogg
42,alpha,alpha_male,neutral,还好，没出什么大问题。你呢？,1.0,0,0.5,voice/dialogue/bond_alpha_lila_1_alpha_1.ogg
43,lila,lila_female,tired,我还行。就是有点累。,0.8,-1,0.3,voice/dialogue/bond_alpha_lila_1_lila_2.ogg
44,alpha,alpha_male,caring,注意休息。我们需要你。,0.85,1,0.5,voice/dialogue/bond_alpha_lila_1_alpha_3.ogg
45,lila,lila_female,nostalgic,阿尔法，你还记得我们第一次任务吗？,0.85,0,0.4,voice/dialogue/bond_alpha_lila_3_lila_0.ogg
46,alpha,alpha_male,amused,当然。你差点从楼顶掉下去。,1.0,2,0.6,voice/dialogue/bond_alpha_lila_3_alpha_1.ogg
47,lila,lila_female,warm,是你拉住了我。从那时起我就知道，跟着你没错。,0.9,1,0.5,voice/dialogue/bond_alpha_lila_3_lila_2.ogg
48,alpha,alpha_male,embarrassed,别煽情了，任务还要继续。,1.0,1,0.4,voice/dialogue/bond_alpha_lila_3_alpha_3.ogg
49,system,system_female,neutral,点击蓝色区域中的格子来移动你的单位。移动不消耗行动点(AP)。,1.0,0,0.5,voice/dialogue/tutorial_1_move_system_0.ogg
50,system,system_female,neutral,点击敌人来攻击。攻击消耗1AP。注意命中率受距离和掩体影响。,1.0,0,0.5,voice/dialogue/tutorial_2_attack_system_0.ogg
51,system,system_female,neutral,贴着掩体可以减少被命中的概率。半掩体+20抗性，全掩体+40抗性。,1.0,0,0.5,voice/dialogue/tutorial_3_cover_system_0.ogg
52,system,system_female,neutral,玩家回合开始。,1.0,0,0.5,voice/system/turn_start_player.ogg
53,system,system_female,neutral,敌人回合开始。,1.0,0,0.5,voice/system/turn_start_enemy.ogg
54,system,system_female,neutral,敌方增援到达！,1.0,0,0.5,voice/system/reinforcement_1.ogg
55,system,system_female,neutral,精英增援到达！,1.0,0,0.5,voice/system/reinforcement_2.ogg
56,system,system_female,neutral,撤离点已激活！三回合内撤离！,1.0,0,0.5,voice/system/evac_activate.ogg
57,system,system_female,neutral,任务完成。,1.0,0,0.5,voice/system/victory.ogg
58,system,system_female,neutral,任务失败。,1.0,0,0.5,voice/system/defeat.ogg
59,system,system_female,neutral,单位阵亡。,1.0,0,0.5,voice/system/unit_down.ogg
60,system,system_female,neutral,暴击命中！,1.0,0,0.5,voice/system/critical_hit.ogg
61,system,system_female,neutral,闪避成功！,1.0,0,0.5,voice/system/dodge.ogg
62,system,system_female,neutral,目标已被标记。,1.0,0,0.5,voice/system/mark.ogg
63,system,system_female,neutral,目标被压制。,1.0,0,0.5,voice/system/suppress.ogg
64,system,system_female,neutral,护甲穿透！,1.0,0,0.5,voice/system/armor_pierce.ogg
65,system,system_female,neutral,掩体被破坏。,1.0,0,0.5,voice/system/cover_destroy.ogg
66,system,system_female,neutral,治疗完成。,1.0,0,0.5,voice/system/heal.ogg
67,system,system_female,neutral,复活成功。,1.0,0,0.5,voice/system/revive.ogg
68,system,system_female,neutral,警戒射击触发！,1.0,0,0.5,voice/system/overwatch_trigger.ogg
69,system,system_female,neutral,等级提升！,1.0,0,0.5,voice/system/level_up.ogg
70,system,system_female,neutral,首次通关奖励！,1.0,0,0.5,voice/system/first_clear.ogg
71,system,system_female,neutral,回合超时。,1.0,0,0.5,voice/system/timeout.ogg
72,system,system_female,neutral,进入潜行状态。,1.0,0,0.5,voice/system/stealth.ogg
73,system,system_female,neutral,陷阱已布置。,1.0,0,0.5,voice/system/trap_placed.ogg
